admin,SBIN.NS,State Bank of India
admin,BEL.NS,Bharat Electronics Ltd. 
admin,ONGC.NS,Oil and Natural Gas Corporation Ltd. 
admin,BPCL.NS,Bharat Petroleum Corporation Ltd. 
admin,SHRIRAMFIN.NS,Shriram Finance Ltd. 
admin,LT.NS,Larsen & Toubro Ltd. 
user,SBIN.NS,State Bank of India
user,BEL.NS,Bharat Electronics Ltd. 
user,ONGC.NS,Oil and Natural Gas Corporation Ltd. 
user,BPCL.NS,Bharat Petroleum Corporation Ltd. 
admin,JSWSTEEL.NS,JSW Steel Ltd.
admin,ZOMATO.BO,Zomato Ltd.
admin,ICICIBANK.BO,ICICI Bank Ltd.
admin,AXISBANK.BO,Axis Bank Ltd.
admin,HDFCBANK.BO,HDFC Bank Ltd.
